name,url
"Void Initiate","http://www.nerdtitan.com/wp-content/uploads/2013/01/void-initiate.png"
"Lionheart","http://www.siglaunch.com/guild_header/dynamic_gen.php?guild_name=Ascension&font_type=MORPHEUS.TTF&font_size=45&font_color=FFFFFF"
"Void Initiate","http://www.nerdtitan.com/wp-content/uploads/2013/01/void-initiate.png"
"Spike Vixen","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD46%20Spike%20Vixen.png"
"Shade ot Black Watch","http://universityofaskara.files.wordpress.com/2012/12/shade-of-the-black-watch1.jpg?w=357"
"Shadow Star","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD48%20Shadow%20Star.png"
"Arbiter of the Precipice","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD43%20Arbiter%20of%20the%20Precipice.png"
"Demon Slayer","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD44%20Demon%20Slayer.png"
"Muramasa","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD42%20Muramasa.png"
"Arha Initiate","http://i.stack.imgur.com/bbrq7.png"
"Temple Librarian","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD1%20Temple%20Librarian.png"
"Seer of the Forked Path","http://universityofaskara.files.wordpress.com/2012/12/seer-of-the-forked-path2.jpg?w=357"
"Twofold Askara","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD3%20Twofold%20Askara.png"
"Arha Templar","http://cf.geekdo-images.com/images/pic710737.jpg"
"Ascetic of the Lidless Eye","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD2%20Ascetic%20of%20the%20Lidless%20Eye.png"
"Tablet of Times Dawn","http://www.nerdtitan.com/wp-content/uploads/2013/02/CD9-Tablet-of-Times-Dawn.png"
"The All Seeing Eye","http://universityofaskara.files.wordpress.com/2012/12/the-all-seeing-eye.png"
"Oziah the Peerless","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD6%20Oziah%20the%20Peerless.png"
"Master Dhartha","http://universityofaskara.files.wordpress.com/2012/12/master-dhartha1.jpg?w=357"
"Wolf Shaman","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD14%20Wolf%20Shaman.png"
"Runic Lycanthrope","http://universityofaskara.files.wordpress.com/2012/12/runic-lycanthrope1.jpg?w=358"
"Yggdrasil Staff","http://universityofaskara.files.wordpress.com/2012/12/yggdrasil-staff1.jpg?w=357"
"Druids ot Stone Circle","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD18%20Druids%20of%20the%20Stone%20Circle.png"
"Snapdragon","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD17%20Snapdragon.png"
"Flytrap Witch","http://universityofaskara.files.wordpress.com/2012/12/flytrap-witch1.jpg?w=358"
"Landtalker","http://universityofaskara.files.wordpress.com/2012/12/landtalker1.jpg?w=358"
"Cetra Weaver ot Stars","http://universityofaskara.files.wordpress.com/2012/12/cetra-weaver-of-stars1.jpg?w=358"
"Mechana Initiate","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD20%20Mechana%20Initiate.png"
"Kor the Ferromancer","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD25%20Kor%20The%20Ferromancer.png"
"Burrower Mk II","http://universityofaskara.files.wordpress.com/2012/12/burrower-mark-ii1.jpg?w=358"
"Avatar Golem","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD26%20Avatar%20Golem.png"
"Reactor Monk","http://www.criticalgamers.com/assets_c/2010/07/AscensionReactorMonk-thumb-250x350-2284.jpg"
"Rocket Courier X-99","http://universityofaskara.files.wordpress.com/2012/12/rocket-courier-x-991.jpg?w=358"
"Watchmaker Altar","http://universityofaskara.files.wordpress.com/2012/12/watchmakers-altar1.jpg?w=358"
"The Grand Design","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD24%20The%20Grand%20Design.png"
"Hedron Link Device","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD24%20The%20Grand%20Design.png"
"Hedron Cannon","http://universityofaskara.files.wordpress.com/2012/12/hedron-cannon1.jpg?w=357"
"Samael's Trickster","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-6014dp9.png"
"Tormented Soul","http://www.nerdtitan.com/wp-content/uploads/2013/01/tormented-soul.png"
"Mephit","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-63u5r12.png"
"Corrosive Widow","http://universityofaskara.files.wordpress.com/2012/12/corrosive-widow1.jpg?w=358"
"Mistake of Creation","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-5ni7lic.png"
"Wind Tyrant","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-581bg8o.png"
"Sea Tyrant","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-2uboo52.png"
"Earth Tyrant","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-2eaq120.png"
"Xeron Duke of Lies","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline_files/1378/ascension-monsters-8r7doi6.png"
"Avatar ot Fallen","http://theiddm.files.wordpress.com/2012/08/ascension-avatar-of-the-fallen.png?w=640"
"Lionheart","http://universityofaskara.files.wordpress.com/2012/11/lionheart-l1.png?w=376"
"Heavy Infantry","http://universityofaskara.files.wordpress.com/2012/12/heavy-infantry-sos1.png?w=218"
"Cultist","http://scenes.malvasiabianca.org/wp-content/uploads/2011/08/Cultist.png"
"Apprentice","http://pockettactics.com/wp-content/uploads/2012/05/ascension_storm_of_souls_apprentice.jpg"
"Mystic","http://universityofaskara.files.wordpress.com/2012/12/mystic-cotg1.png?w=219"
"Militia","http://universityofaskara.files.wordpress.com/2012/12/militia-cotg1.png?w=220"
"Lifeblood Initiate","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD19%20Lifebound%20Initiate.png"
"Emeri One with the Void","http://www.gamehead.com/sites/default/files/styles/gh_lightbox/public/images/article/inline/CD45%20Emri,%20One%20with%20the%20Void.png"
"Void Thirster","http://static.starcitygames.com/www/images/article/12162010Voidthirster.jpg"
"Hoarding Tyrant","http://assets0.webkite.com/datas/616177.best/original/Hoarding-Tyrant.jpg?1363295122"
"Askara of Fate","http://castlesandcooks.com/wp-content/uploads/2011/11/askara-of-fate.png"